Date,vix_near,vix_far
2026-03-20,22.244528,19.059391
2026-03-25,24.74,25.36
2026-03-27,26.8,27.47
2026-03-30,27.89,28.58
2026-03-31,27.89,28.59
2026-04-01,25.01,25.64
2026-04-02,25.52,26.16
2026-04-03,25.52,26.16
2026-04-06,25.47,26.1
2026-04-07,24.69,25.31
2026-04-08,19.7,20.19
2026-04-09,20.43,20.94
2026-04-10,18.85,19.32
2026-04-13,20.5,21.01
2026-04-14,20.5,21.01
2026-04-15,18.67,19.13
2026-04-16,18.08,18.54
2026-04-17,17.2,17.64
2026-04-20,18.79,19.26
2026-04-21,17.53,17.97
2026-04-22,18.3,18.76
2026-04-23,18.59,19.05
2026-04-24,19.71,20.21
2026-04-27,18.38,18.84
2026-04-29,17.44,17.87
2026-04-30,18.46,18.92
2026-05-01,18.46,18.92
2026-05-04,18.3,18.76
2026-05-06,16.68,17.09
2026-05-07,16.62,17.04
2026-05-08,16.84,17.26
2026-05-11,18.55,19.02
2026-05-12,19.28,19.76
2026-05-13,19.42,19.91
2026-05-14,18.61,19.08
2026-05-15,18.79,19.26
2026-05-18,19.63,20.12
2026-05-19,18.67,19.14
2026-05-20,18.44,18.9
2026-05-21,17.82,18.27
2026-05-22,17.82,18.27
2026-05-29,16.18,16.59
2026-06-02,16.19,16.59
2026-06-03,16.28,16.68
2026-06-04,15.89,16.28
2026-06-05,15.79,16.18
2026-06-08,17.03,17.45
2026-06-09,15.57,15.96
2026-06-10,15.63,16.02
2026-06-11,15.61,16.0
2026-06-12,14.72,15.09
2026-06-15,14.35,14.71
2026-06-16,13.36,13.7
2026-06-17,13.19,13.52
2026-06-18,12.67,12.99
2026-06-19,12.97,13.29
2026-06-22,12.84,13.16
2026-06-23,13.94,14.29
2026-06-24,13.39,13.72
2026-06-25,13.05,13.38
2026-06-26,13.05,13.38
2026-06-29,13.61,13.95
2026-06-30,13.6,13.94
2026-07-01,13.24,13.57
2026-07-02,12.29,12.59
2026-07-03,11.8,12.09
2026-07-06,11.82,12.11
2026-07-07,11.65,11.94
2026-07-08,14.68,15.05
2026-07-09,13.36,13.7
2026-07-10,12.25,12.56
2026-07-13,13.28,13.61
2026-07-14,13.75,14.09
2026-07-15,13.27,13.6
2026-07-16,12.88,13.2
2026-07-17,13.15,13.48
2026-07-20,12.98,13.3
2026-07-21,12.6,12.92
2026-07-22,13.29,13.62
2026-07-23,13.48,13.81
2026-07-24,14.03,14.38
2026-07-27,12.66,12.98
2026-07-28,12.56,12.88
2026-07-29,12.01,12.31
2026-07-30,12.15,12.46
2026-07-31,11.76,12.05
2026-08-03,11.93,12.22
2026-08-04,12.19,12.49
2026-08-05,12.06,12.36
2026-08-06,12.16,12.46
2026-08-07,12.16,12.46
2026-08-10,12.24,12.55
2026-08-11,11.85,12.15
2026-08-12,11.69,11.98
2026-08-13,11.42,11.7
2026-08-14,11.31,11.59
2026-08-17,11.32,11.61
2026-08-18,11.39,11.67
2026-08-19,11.32,11.61
2026-08-20,10.76,11.02
2026-08-21,11.19,11.47
2026-08-24,11.52,11.81
